id,startNode,endNode,,,
PHALL01201_PHALL01101,PHALL01201,PHALL01101,1,1,
PHALL01201_PSTAI00401,PHALL01201,PSTAI00401,1,1,
PHALL01201_PHALL01301,PHALL01201,PHALL01301,1,1,
PRETL00101_PHALL01301,PRETL00101,PHALL01301,1,1,
PDEPT00801_PHALL01501,PDEPT00801,PHALL01501,1,1,
PHALL00101_PSERV00201,PHALL00101,PSERV00201,1,1,
PHALL00101_PHALL00201,PHALL00101,PHALL00201,1,1,
PHALL02401_PHALL02301,PHALL02401,PHALL02301,1,1,
PHALL02401_PSTAI00101,PHALL02401,PSTAI00101,1,1,
PHALL02401_PHALL02501,PHALL02401,PHALL02501,1,1,
PHALL00901_PHALL00801,PHALL00901,PHALL00801,1,1,
PHALL00901_PDEPT00501,PHALL00901,PDEPT00501,1,1,
PHALL00901_PHALL01001,PHALL00901,PHALL01001,1,1,
PHALL00901_PHALL01401,PHALL00901,PHALL01401,1,1,
PLAB00401_PHALL02901,PLAB00401,PHALL02901,1,1,
PHALL01101_PHALL00601,PHALL01101,PHALL00601,1,1,
PHALL01101_PELEV00101,PHALL01101,PELEV00101,1,1,
PHALL01101_PSTAI00301,PHALL01101,PSTAI00301,1,1,
PDEPT00901_PHALL01601,PDEPT00901,PHALL01601,1,1,
PHALL01901_PHALL01701,PHALL01901,PHALL01701,1,1,
PHALL01901_PDEPT00201,PHALL01901,PDEPT00201,1,1,
PHALL01901_PHALL02001,PHALL01901,PHALL02001,1,1,
PHALL02301_PHALL02201,PHALL02301,PHALL02201,1,1,
PHALL02301_PSERV00101,PHALL02301,PSERV00101,1,1,
PHALL00801_PHALL00701,PHALL00801,PHALL00701,1,1,
PHALL00801_PREST00201,PHALL00801,PREST00201,1,1,
PLAB00301_PHALL02201,PLAB00301,PHALL02201,1,1,
PSTAI00201_PHALL03101,PSTAI00201,PHALL03101,1,1,
PHALL01001_PDEPT00701,PHALL01001,PDEPT00701,1,1,
PHALL01801_PHALL00601,PHALL01801,PHALL00601,1,1,
PHALL01801_PHALL01701,PHALL01801,PHALL01701,1,1,
PHALL01801_PDEPT00601,PHALL01801,PDEPT00601,1,1,
PDEPT00101_PHALL02001,PDEPT00101,PHALL02001,1,1,
PHALL00701_PHALL00601,PHALL00701,PHALL00601,1,1,
PHALL02201_PHALL02101,PHALL02201,PHALL02101,1,1,
PLAB00201_PHALL02101,PLAB00201,PHALL02101,1,1,
PKIOS00101_PHALL01301,PKIOS00101,PHALL01301,1,1,
PSERV00301_PHALL02701,PSERV00301,PHALL02701,1,1,
PHALL01701_PHALL01601,PHALL01701,PHALL01601,1,1,
PHALL01701_PHALL02101,PHALL01701,PHALL02101,1,1,
PHALL02901_PHALL02801,PHALL02901,PHALL02801,1,1,
PHALL00601_PHALL00501,PHALL00601,PHALL00501,1,1,
PLAB00101_PHALL00301,PLAB00101,PHALL00301,1,1,
PELEV00201_PHALL02601,PELEV00201,PHALL02601,1,1,
PHALL03101_PHALL03001,PHALL03101,PHALL03001,1,1,
PREST00101_PHALL00401,PREST00101,PHALL00401,1,1,
PHALL01601_PHALL01401,PHALL01601,PHALL01401,1,1,
PHALL01601_PHALL02701,PHALL01601,PHALL02701,1,1,
PDEPT00401_PHALL00501,PDEPT00401,PHALL00501,1,1,
PHALL02001_PDEPT00301,PHALL02001,PDEPT00301,1,1,
PHALL02801_PHALL02701,PHALL02801,PHALL02701,1,1,
PHALL02801_PHALL03001,PHALL02801,PHALL03001,1,1,
PHALL00501_PHALL00401,PHALL00501,PHALL00401,1,1,
PHALL03001_PDEPT01001,PHALL03001,PDEPT01001,1,1,
PELEV00301_PHALL02501,PELEV00301,PHALL02501,1,1,
PHALL01501_PHALL01401,PHALL01501,PHALL01401,1,1,
PHALL00401_PHALL00201,PHALL00401,PHALL00201,1,1,
PHALL00301_PHALL00201,PHALL00301,PHALL00201,1,1,
PHALL02601_PHALL02501,PHALL02601,PHALL02501,1,1,
PEXIT00101_PHALL01301,PEXIT00101,PHALL01301,1,1,
